Channel Id,Channel Url,Channel Title
UC-2Y8dQb0S6DtpxNgAKoJKA,http://www.youtube.com/channel/UC-2Y8dQb0S6DtpxNgAKoJKA,PlayStation
UC-9QiiVaViuqMhLp1XEwdxA,http://www.youtube.com/channel/UC-9QiiVaViuqMhLp1XEwdxA,Arlo
UC-YzOyNh3lucFu_mfLyNwFg,http://www.youtube.com/channel/UC-YzOyNh3lucFu_mfLyNwFg,Nin10doland
UC-omXuxKA9yEygiG85yI4JQ,http://www.youtube.com/channel/UC-omXuxKA9yEygiG85yI4JQ,Steven He Shorts
UC-pNG-RbPL28CiK-JnBFEyw,http://www.youtube.com/channel/UC-pNG-RbPL28CiK-JnBFEyw,AyItsGreyJ
UC-pnSdXRsSi44apSO5RXjlw,http://www.youtube.com/channel/UC-pnSdXRsSi44apSO5RXjlw,Laugh Over Life
UC0AE_22J0kAo30yjasaeFqw,http://www.youtube.com/channel/UC0AE_22J0kAo30yjasaeFqw,Element Animation
UC0GLNhtTu7yI8rl6ZZGeezw,http://www.youtube.com/channel/UC0GLNhtTu7yI8rl6ZZGeezw,TheOdd2sOut
UC0KU8F9jJqSLS11LRXvFWmg,http://www.youtube.com/channel/UC0KU8F9jJqSLS11LRXvFWmg,Ubisoft
UC0dFM1iWAh8QqArhtIdSCcA,http://www.youtube.com/channel/UC0dFM1iWAh8QqArhtIdSCcA,HamaSamaKun
UC0fdDmoOESMp9zuMMmRSmZw,http://www.youtube.com/channel/UC0fdDmoOESMp9zuMMmRSmZw,Don Shnack
UC14fB9eWBu579yRWLUhbFdQ,http://www.youtube.com/channel/UC14fB9eWBu579yRWLUhbFdQ,SystemZee
UC19Tqf8QXE0--j8kFfcbKCg,http://www.youtube.com/channel/UC19Tqf8QXE0--j8kFfcbKCg,Grazzy
UC1sELGmy5jp5fQUugmuYlXQ,http://www.youtube.com/channel/UC1sELGmy5jp5fQUugmuYlXQ,Minecraft
UC274PEnFIQktbCbxDzzS-7Q,http://www.youtube.com/channel/UC274PEnFIQktbCbxDzzS-7Q,ShortPocketMonster
UC27yibXdpRSBtKRs_09CZ5Q,http://www.youtube.com/channel/UC27yibXdpRSBtKRs_09CZ5Q,gsmVoiD
UC2hm5rD_IrfYRMfq5YQudgA,http://www.youtube.com/channel/UC2hm5rD_IrfYRMfq5YQudgA,Haminations
UC3F-xSompU7BXr0bz8YqljA,http://www.youtube.com/channel/UC3F-xSompU7BXr0bz8YqljA,MorePainful
UC3ou2_G8GIrTEnXf81yN4dQ,http://www.youtube.com/channel/UC3ou2_G8GIrTEnXf81yN4dQ,instructor_bensei
UC3sznuotAs2ohg_U__Jzj_Q,http://www.youtube.com/channel/UC3sznuotAs2ohg_U__Jzj_Q,The Film Theorists
UC3wXNek0WLlrsirz2oz-UEQ,http://www.youtube.com/channel/UC3wXNek0WLlrsirz2oz-UEQ,Knarfy
UC4HY8WkC48ZZkHqJFaDeABg,http://www.youtube.com/channel/UC4HY8WkC48ZZkHqJFaDeABg,KnightPohtaytoe
UC4OyYvp1BSM5i5IZ0YIHEwg,http://www.youtube.com/channel/UC4OyYvp1BSM5i5IZ0YIHEwg,EvenMorePegasus
